,Loc,Loc Zn,Loc Name,Loc Purp Desc,Loc/QTI,Flow Ind,DC,OPC,TSQ,OAC,IT,Auth Overrun Ind,Nom Cap Exceed Ind,All Qty Avail/Qty Reason
0,78542.0,EAST OF HWY 789,ANR,MQ,DPQ,D,500000.0,500000.0,305089.0,194911.0,N,N,N,Y
1,79038.0,EAST OF HWY 789,ARCADIA GAS STORAGE,MQ,DPQ,D,250000.0,265000.0,87550.0,177450.0,Y,Y,N,Y
2,79038.0,EAST OF HWY 789,ARCADIA GAS STORAGE,M2,RPQ,R,250000.0,265000.0,3313.0,261687.0,Y,N,N,Y
3,79008.0,EAST OF HWY 789,BISTINEAU,M2,RPQ,R,250000.0,250000.0,229612.0,20388.0,Y,N,N,Y
4,79037.0,EAST OF HWY 789,Black Bear Caddo,M2,RPQ,R,100000.0,100000.0,14000.0,86000.0,N,N,N,Y
5,79039.0,EAST OF HWY 789,CADEVILLE GAS STORAGE,M2,RPQ,R,250000.0,265000.0,21131.0,243869.0,N,N,N,Y
6,78532.0,EAST OF HWY 789,CLEAR LAKE,M2,RPQ,R,500000.0,500000.0,92993.0,407007.0,Y,N,N,Y
7,78555.0,EAST OF HWY 789,COLUMBIA GULF,MQ,DPQ,D,1300000.0,1300000.0,128593.0,1171407.0,N,N,N,Y
8,78554.0,EAST OF HWY 789,EXCO / HOLLY,M2,RPQ,R,500000.0,500000.0,177622.0,322378.0,Y,N,N,Y
9,79060.0,EAST OF HWY 789,HODGE PAPER MILL,MQ,DPQ,D,30000.0,30000.0,19700.0,10300.0,N,N,N,Y
10,79025.0,EAST OF HWY 789,KINDERHAWK NORTH HOLLY I/C,M2,RPQ,R,350000.0,350000.0,60000.0,290000.0,Y,N,N,Y
11,79024.0,EAST OF HWY 789,KINDERHAWK PLANTATION I/C,M2,RPQ,R,350000.0,350000.0,157243.0,192757.0,Y,N,N,Y
12,78535.0,EAST OF HWY 789,MAGNOLIA,M2,RPQ,R,500000.0,500000.0,163244.0,336756.0,Y,N,N,Y
13,78528.0,EAST OF HWY 789,MANSFIELD,M2,RPQ,R,1000000.0,1000000.0,317013.0,682987.0,Y,Y,N,Y
14,100736.0,WEST OF HWY 789,MOMENTUM DEADWOOD,M2,RPQ,R,450000.0,450000.0,278653.0,171347.0,N,N,N,Y
15,79007.0,EAST OF HWY 789,SESH - SPECTRA,MQ,DPQ,D,,867000.0,466937.0,400063.0,Y,N,N,N
16,79006.0,EAST OF HWY 789,SESH-SNG,MQ,DPQ,D,,433000.0,294185.0,138815.0,N,N,N,N
17,78530.0,EAST OF HWY 789,SPRINGRIDGE,M2,RPQ,R,750000.0,750000.0,681149.0,68851.0,Y,Y,N,Y
18,78538.0,EAST OF HWY 789,TENNESSEE GAS PIPELINE,MQ,DPQ,D,265000.0,265000.0,118637.0,146363.0,N,N,N,Y
19,78536.0,EAST OF HWY 789,TEXAS EASTERN,MQ,DPQ,D,140000.0,140000.0,30000.0,110000.0,N,N,N,Y
20,78540.0,EAST OF HWY 789,TEXAS GAS TRANSMISSION,MQ,DPQ,D,500000.0,500000.0,326493.0,173507.0,Y,Y,N,Y
21,100728.0,EAST OF HWY 789,TGP Delhi,MQ,DPQ,D,650000.0,650000.0,261424.0,388576.0,N,N,N,Y
22,78541.0,EAST OF HWY 789,TRUNKLINE GAS PIPELINE,MQ,DPQ,D,500000.0,500000.0,258826.0,241174.0,N,N,N,Y
23,78534.0,EAST OF HWY 789,WOODARDVILLE,M2,RPQ,R,140000.0,140000.0,114876.0,25124.0,Y,N,N,Y
24,,,,,,,,,,,,,,
